#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1AA1B
#Date Time: 2019-11-28 15:17:11.989
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V
#Channel 2: Range: 1 V/div Offset: 0 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
1.68688,1.97453,3.01407
1.68688,1.8935,2.94862
1.68688,1.85298,2.76318
1.68688,1.83088,1.09417
1.68688,1.9156,0.261488
1.68688,2.26183,1.05054
1.68688,2.46072,0.734191
1.68688,2.56754,0.432388
1.68688,2.69277,0.654195
1.68688,2.8622,0.683284
1.68688,2.89535,0.51602
1.68688,2.95429,0.577835
1.68688,2.99848,0.796006
1.68688,3.02058,2.43228
1.68688,2.93219,3.20679
1.68688,2.58227,2.49774
1.68688,2.43494,2.82136
1.68688,2.29866,3.07952
1.68688,2.19184,2.87953
1.68688,2.03346,2.88681
1.68688,1.99663,3.02134
1.68688,1.90823,2.95226
1.68688,1.84562,2.75954
1.68688,1.8272,1.09781
1.68688,1.90455,0.276033
1.68688,2.28024,1.06508
1.68688,2.44967,0.741463
1.68688,2.56017,0.436024
1.68688,2.68541,0.650559
1.68688,2.85115,0.676012
1.68688,2.89535,0.508748
1.68688,2.98007,0.581471
1.68688,3.02058,0.796006
1.68688,3.01322,2.42138
1.68688,2.93587,3.20679
1.68688,2.57859,2.49774
1.68688,2.42021,2.8359
1.68688,2.33181,3.07225
1.68688,2.18816,2.89408
1.68688,2.03346,2.8759
1.68688,1.98926,3.0068
1.68688,1.9156,2.95953
1.68688,1.86035,2.77045
1.68688,1.85667,1.10144
1.68688,1.92296,0.246943
1.68688,2.24341,1.06145
1.68688,2.46809,0.741463
1.68688,2.56754,0.425116
1.68688,2.70014,0.650559
1.68688,2.85484,0.679648
1.68688,2.88062,0.497839
1.68688,2.96902,0.570563
1.68688,3.00953,0.803278
1.68688,3.02427,2.43228
1.68688,2.94324,3.20315
1.68688,2.58964,2.4941
1.68688,2.43126,2.82499
1.68688,2.31339,3.07952
1.68688,2.19553,2.89408
1.68688,2.0482,2.88317
1.68688,2.00031,3.02134
